,N2O,CO2,DO,NH_4,NO3,Qair_meas
2012-08-08 00:00:00,105.851,37595.3,0.30671296,1.5451388,1.099537,2994.6467
2012-08-08 00:01:00,106.05,37602.1,0.22858796,1.5625,1.099537,3158.7092
2012-08-08 00:02:00,106.409,37609.0,0.2662037,1.6145833,1.423611,3210.865
2012-08-08 00:03:00,106.729,37616.8,0.37326387,1.6203703,1.423611,3852.9368
2012-08-08 00:04:00,107.398,37626.9,0.48321757,1.6145833,1.423611,4116.7534
2012-08-08 00:05:00,108.073,37631.1,0.625,1.6030092,1.423611,4102.069
2012-08-08 00:06:00,108.887,37626.9,0.8275463,1.6145833,1.423611,3999.2764
2012-08-08 00:07:00,109.84,37617.9,0.9866898,1.8287036,1.1805555,3193.6487
2012-08-08 00:08:00,110.479,37606.0,1.032986,1.8344907,1.1805555,4214.9883
2012-08-08 00:09:00,111.124,37600.5,0.98379624,1.8325616,1.1805555,4992.26
2012-08-08 00:10:00,111.695,37594.0,0.9751157,1.8306327,1.1805555,5556.8574
2012-08-08 00:11:00,112.203,37568.2,1.1921296,1.8287036,1.1805555,5742.6934
2012-08-08 00:12:00,112.814,37550.0,1.4872684,1.6203703,1.099537,5632.812
2012-08-08 00:13:00,113.476,37537.1,1.7390046,1.6261574,1.099537,5384.693
2012-08-08 00:14:00,113.96,37529.2,1.8692129,1.6232638,1.099537,5157.335
2012-08-08 00:15:00,114.517,37535.3,1.886574,1.6203703,1.099537,4994.7915
2012-08-08 00:16:00,115.065,37530.1,1.8200231,1.6319444,1.099537,3912.688
2012-08-08 00:17:00,115.592,37529.6,1.6927083,1.6550926,0.9548611,3486.8342
2012-08-08 00:18:00,115.965,37528.7,1.501736,1.652199,0.9548611,3288.3389
2012-08-08 00:19:00,116.319,37543.4,1.1979166,1.6493055,0.9548611,2102.4304
2012-08-08 00:20:00,116.572,37567.1,0.9317129,1.6550926,0.9548611,2240.1619
2012-08-08 00:21:00,116.842,37580.4,0.6423611,1.5798612,0.9548611,2637.1526
2012-08-08 00:22:00,117.071,37590.2,0.36747685,1.5046296,1.1921296,2986.545
2012-08-08 00:23:00,117.387,37593.0,0.24884258,1.5017362,1.1921296,3477.7197
2012-08-08 00:24:00,117.765,37612.7,0.24305555,1.4988426,1.1921296,4187.138
2012-08-08 00:25:00,118.473,37623.4,0.4253472,1.5046296,1.1921296,4191.189
2012-08-08 00:26:00,119.099,37621.3,0.7060185,1.6030092,1.1921296,4109.1577
2012-08-08 00:27:00,119.889,37611.0,0.9172453,1.8171296,1.3657407,4098.524
2012-08-08 00:28:00,120.732,37599.3,0.99826384,1.8229166,1.3657407,3535.4453
2012-08-08 00:29:00,121.553,37591.5,1.0040509,1.7867477,1.3657407,4535.5176
2012-08-08 00:30:00,122.46,37589.8,0.9548611,1.7505786,1.3657407,5269.2417
2012-08-08 00:31:00,123.131,37575.3,1.0734954,1.7144096,1.3657407,5624.7104
2012-08-08 00:32:00,123.917,37553.0,1.3483796,1.6782407,1.6319444,5678.8916
2012-08-08 00:33:00,124.546,37534.3,1.6203703,1.6782407,1.6319444,5623.6978
2012-08-08 00:34:00,125.206,37518.3,1.7997684,1.6782407,1.6319444,5433.8105
2012-08-08 00:35:00,125.821,37520.0,1.8692129,1.6782407,1.6319444,5199.8696
2012-08-08 00:36:00,126.597,37521.3,1.8344907,1.6782407,1.6319444,5065.1763
2012-08-08 00:37:00,127.28,37531.4,1.796875,1.7476851,1.5104166,4931.4956
2012-08-08 00:38:00,127.81,37545.6,1.7418981,1.7592592,1.5104166,4896.5566
2012-08-08 00:39:00,128.233,37549.1,1.640625,1.7476851,1.5104166,4737.5576
2012-08-08 00:40:00,128.591,37541.7,1.6087962,1.7534721,1.5104166,4387.6587
2012-08-08 00:41:00,128.803,37542.2,1.5335648,1.7592592,1.5104166,3582.031
2012-08-08 00:42:00,128.923,37548.1,1.3946759,1.4467592,1.412037,3253.906
2012-08-08 00:43:00,129.131,37566.3,1.171875,1.4525462,1.412037,3197.193
2012-08-08 00:44:00,129.403,37589.7,0.9259259,1.4467592,1.412037,1817.8529
2012-08-08 00:45:00,129.688,37603.3,0.7407407,1.4496527,1.412037,2340.9287
2012-08-08 00:46:00,130.177,37611.0,0.46585646,1.4525462,1.412037,3371.383
2012-08-08 00:47:00,130.615,37614.0,0.2662037,1.5162036,1.1516204,4042.824
2012-08-08 00:48:00,131.22,37607.5,0.2864583,1.5200616,1.1516204,4000.7954
2012-08-08 00:49:00,131.858,37601.5,0.51215273,1.5239197,1.1516204,3939.0188
2012-08-08 00:50:00,132.531,37603.8,0.7841435,1.5277777,1.1516204,3205.295
2012-08-08 00:51:00,133.328,37603.9,0.8940972,1.5162036,1.1516204,4187.138
2012-08-08 00:52:00,134.128,37599.9,0.8825231,1.5277777,1.423611,5049.479
2012-08-08 00:53:00,135.127,37586.3,0.9114583,1.5239197,1.4250578,5521.918
2012-08-08 00:54:00,136.188,37562.1,1.1487268,1.5200616,1.4265046,5839.4097
2012-08-08 00:55:00,137.219,37532.0,1.5364583,1.5162036,1.4279513,5656.105
2012-08-08 00:56:00,138.013,37520.1,1.7650462,1.5277777,1.4293981,5609.5195
2012-08-08 00:57:00,138.862,37516.3,1.8836805,1.5277777,1.574074,5567.9976
2012-08-08 00:58:00,139.43,37517.0,1.8981481,1.5277777,1.6059027,5412.543
2012-08-08 00:59:00,140.142,37512.7,1.8778934,1.5277777,1.6377314,5274.305
